index,pot_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
71,47609372,"Show HN: Semantic atlas of 188 constitutions in 3D (30k articles, embeddings)",entertainment,10,4,joaoli131,2026-04-04 15:53:34,0.36363636363636365,False
72,47632990,"'Call A Boomer' phonebooth fosters cross-country, multi-generational connections",worldnews,5,0,gnabgib,2026-04-04 15:53:36,0.0,False
73,47617630,"Show HN: Mac-hardware toys, control your Mac's hardware like a modular synth",worldnews,7,1,nikisweeting,2026-04-04 15:53:39,0.125,False
74,47628606,"Hello, World - NASA",science,5,0,lateforwork,2026-04-04 15:53:41,0.0,False
75,47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,92,17,AustinDev,2026-04-04 15:53:47,0.1827956989247312,False
76,47620867,Proton Workspace: An encrypted suite for team collaboration,sports,26,4,teekert,2026-04-04 15:53:48,0.14814814814814814,False
77,47625385,"H.264 Streaming Fees: What Changed, Who's Affected, and What It Means",entertainment,74,42,phantomathkg,2026-04-04 15:53:50,0.56,False
78,47585860,"In Expanding de Sitter Space, Quantum Mechanics Gets More Elusive",science,32,2,pseudolus,2026-04-04 15:53:52,0.06060606060606061,False
79,47615058,Old code never dies: why legacy software is often safer than new code,worldnews,5,0,speckx,2026-04-04 15:53:56,0.0,False
80,47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,entertainment,29,0,mooreds,2026-04-04 15:54:13,0.0,False
81,47606909,Cindy Cohn of the EFF Interviewed by Jon Stewart on the Daily Show [video],worldnews,35,1,latexr,2026-04-04 15:54:26,0.027777777777777776,False
82,47592113,"Jami – free/libre, end-to-end encrypted, and private communication software",worldnews,43,3,smartmic,2026-04-04 15:54:27,0.06818181818181818,False
83,47620442,NASA: Artemis II Real time tracking with multiple views,science,11,0,ColinWright,2026-04-04 15:54:28,0.0,False
84,47612035,UK Government unveils rules to end subscription traps,worldnews,26,6,_____k,2026-04-04 15:54:29,0.2222222222222222,False
86,47603534,A new way to measure poverty shows the US falling behind Europe,entertainment,97,84,_DeadFred_,2026-04-04 15:55:05,0.8571428571428571,False
87,47607775,"""Special 301"" Comments on Nintendo Game Piracy in Asia and Latin America (1994)",sports,7,0,Lammy,2026-04-04 15:55:26,0.0,False
88,47590261,Ask HN: Academic study on AI's impact on software development – want to join?,worldnews,30,15,research2026,2026-04-04 15:55:55,0.4838709677419355,False
89,47629960,Big Banks Seeking a Piece of SpaceX's IPO Must Subscribe to Elon Musk's Grok,science,9,0,spenvo,2026-04-04 15:56:16,0.0,False
